FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,LEAN
518,568,213,175,41,8,3,0,0
553,506,175,166,43,10,1,0,0
465,518,185,177,52,10,0,0,0
486,523,191,185,62,11,0,0,0
556,530,179,184,55,11,0,0,0
562,541,192,188,43,9,1,0,0
565,553,204,194,32,7,2,0,0
566,552,206,195,32,9,1,0,0
564,552,210,196,41,9,0,0,0
570,556,203,197,38,9,0,0,0
584,546,217,153,51,10,4,0,0
567,535,216,176,34,10,5,0,0
567,552,226,188,35,10,8,0,0
588,560,226,194,44,10,5,1,0
0,553,235,201,39,10,8,0,0
587,556,240,205,32,10,4,0,0
568,566,217,197,38,10,0,0,0
584,566,220,204,33,10,0,0,0
587,566,223,207,35,10,0,0,0
585,567,226,208,36,10,0,0,0
582,568,227,212,40,10,0,0,0
578,560,211,200,36,10,0,0,0
584,565,223,196,22,10,3,0,0
583,559,230,200,22,9,4,0,0
549,554,220,190,21,9,4,0,0
590,564,231,211,23,9,7,0,0
589,564,238,209,39,9,2,0,0
576,561,220,208,23,9,3,1,0
579,557,225,201,24,9,3,0,0
563,557,229,200,24,9,3,0,0
580,558,229,201,26,10,3,0,0
577,559,230,200,26,10,3,0,0
577,559,232,202,24,9,3,0,0
577,560,233,204,24,10,5,0,0
571,560,234,205,23,10,2,0,0
569,560,236,204,24,10,4,0,0
548,561,237,201,26,9,3,0,0
622,506,166,113,29,9,5,0,0
557,541,124,93,9,6,8,6,0
584,510,113,96,0,0,11,52,0
489,518,153,109,23,10,8,5,0
535,532,150,127,0,0,11,8,0
537,542,160,139,2,0,11,8,0
524,534,168,140,17,11,12,7,0
519,545,185,165,67,36,0,0,0
510,529,200,158,37,33,0,1,0
499,538,178,147,17,12,8,7,0
527,543,173,92,32,21,6,6,0
532,549,189,135,11,12,10,6,0
537,549,200,146,17,19,9,6,0
535,551,203,150,19,20,9,6,0
537,554,203,148,17,19,7,4,0
537,551,206,150,19,20,9,6,0
539,551,210,154,20,22,8,6,0
541,553,210,155,20,20,8,6,0
541,554,211,156,20,21,9,5,0
541,554,212,157,20,21,8,6,0
543,555,214,158,20,21,10,6,0
544,556,214,161,20,21,9,6,0
544,556,214,159,19,21,7,6,0
546,557,216,160,21,22,8,6,0
548,559,217,163,22,26,7,5,0
556,558,187,151,47,39,0,0,0
541,552,211,166,35,33,7,6,0
545,563,226,280,0,8,0,0,0
